,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2010-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-08,201702.0,0.0,139818.0,23398.0,0.0,0.0,28306.0,212822.0,0.0,311078.0,0.0,0.0,0.0,0.0,0.0,0.0,323018.0,588112.0,0.0,0.0,0.0,505594.0,0.0,0.0,1078182.0,0.0,1303364.0,0.0,0.0,0.0,553134.0,331846.0,51846.0,0.0,460304.0,0.0,608740.0
2010-03-09,217326.0,0.0,71678.0,23416.0,10.0,0.0,28340.0,489078.0,0.0,287338.0,0.0,0.0,0.0,0.0,0.0,0.0,204926.0,714522.0,0.0,0.0,0.0,802254.0,0.0,0.0,1233156.0,0.0,1548964.0,0.0,0.0,0.0,619320.0,247874.0,25456.0,0.0,590298.0,0.0,607510.0
2010-03-10,118686.0,0.0,89756.0,19254.0,0.0,0.0,33464.0,269224.0,0.0,252252.0,0.0,0.0,0.0,0.0,0.0,0.0,262116.0,408984.0,0.0,0.0,0.0,521400.0,0.0,0.0,1472802.0,0.0,1535960.0,0.0,0.0,0.0,1351830.0,247348.0,37128.0,0.0,519420.0,0.0,613180.0
2010-03-11,466426.0,0.0,78844.0,22376.0,0.0,0.0,35708.0,216418.0,0.0,387632.0,0.0,0.0,0.0,0.0,0.0,0.0,304576.0,834150.0,0.0,0.0,0.0,658218.0,0.0,0.0,2178844.0,0.0,1844106.0,0.0,0.0,0.0,1219496.0,266208.0,59016.0,0.0,711600.0,0.0,670818.0
2010-03-12,293038.0,0.0,52680.0,14966.0,0.0,0.0,45374.0,177104.0,0.0,293526.0,0.0,0.0,0.0,0.0,0.0,0.0,300702.0,714056.0,0.0,0.0,0.0,332186.0,0.0,0.0,1492552.0,0.0,1904026.0,0.0,0.0,0.0,1367584.0,231320.0,25188.0,0.0,422478.0,0.0,533224.0
2010-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-15,212060.0,0.0,82646.0,18536.0,0.0,0.0,91014.0,247662.0,0.0,347286.0,0.0,0.0,0.0,0.0,0.0,0.0,314426.0,563264.0,0.0,0.0,0.0,406294.0,0.0,0.0,1417150.0,0.0,1421330.0,0.0,0.0,0.0,1705504.0,343956.0,45812.0,0.0,400104.0,0.0,616904.0
2010-03-16,207992.0,0.0,70986.0,17992.0,8.0,0.0,55360.0,340174.0,0.0,343350.0,0.0,0.0,0.0,0.0,0.0,0.0,359732.0,610730.0,0.0,0.0,0.0,295872.0,0.0,0.0,3008662.0,0.0,1670682.0,0.0,0.0,0.0,2469746.0,379576.0,30708.0,0.0,406996.0,0.0,727112.0
